Month,Year,Date,SP500_Close,SP_Return,CPI,Inflation_Rate
2,2022,Feb-22,4373.94,3.5773239,284.535,0.759587804
3,2022,Mar-22,4530.41,-8.7956719,287.553,1.060677948
4,2022,Apr-22,4131.93,0.00532439,288.764,0.421139755
5,2022,May-22,4132.15,-8.3919993,291.359,0.898657727
6,2022,Jun-22,3785.38,9.1116348,294.996,1.248288194
7,2022,Jul-22,4130.29,-4.2440119,294.977,-0.006440765
8,2022,Aug-22,3955,-9.3395702,295.209,0.0786502
9,2022,Sep-22,3585.62,7.9863455,296.341,0.383457144
10,2022,Oct-22,3871.98,5.375286,297.863,0.513597511
11,2022,Nov-22,4080.11,-5.8971449,298.648,0.263543978
12,2022,Dec-22,3839.5,6.1752832,298.812,0.054914146
1,2023,Jan-23,4076.6,-2.6112447,300.356,0.51671285
2,2023,Feb-23,3970.15,3.5051572,301.509,0.383877798
3,2023,Mar-23,4109.31,1.4642361,301.744,0.077941289
4,2023,Apr-23,4169.48,0.2482324,303.032,0.426851901
5,2023,May-23,4179.83,6.4727513,303.365,0.109889385
6,2023,Jun-23,4450.38,3.1138914,304.003,0.210307715
7,2023,Jul-23,4588.96,-1.7716432,304.628,0.205590076
8,2023,Aug-23,4507.66,-4.8719291,306.187,0.511771735
9,2023,Sep-23,4288.05,-2.1979688,307.288,0.359584176
10,2023,Oct-23,4193.8,8.9179265,307.531,0.07907891
11,2023,Nov-23,4567.8,4.4229169,308.024,0.160309042
12,2023,Dec-23,4769.83,1.5895745,308.742,0.23309872
1,2024,Jan-24,4845.65,5.1720615,309.685,0.305433015
2,2024,Feb-24,5096.27,3.1018765,311.054,0.442062095
3,2024,Mar-24,5254.35,-4.1615043,312.23,0.378069403
4,2024,Apr-24,5035.69,4.8021224,313.207,0.312910355
5,2024,May-24,5277.51,3.4669759,313.225,0.005746998
6,2024,Jun-24,5460.48,1.1321349,313.049,-0.05618964
7,2024,Jul-24,5522.3,2.2834688,313.534,0.154927823
8,2024,Aug-24,5648.4,2.019687,314.121,0.187220525
9,2024,Sep-24,5762.48,-0.9896781,314.686,0.179866994
10,2024,Oct-24,5705.45,5.7301352,315.454,0.244052802
